game_id1,matchup,location,w,final_margin,shot_number,period,game_clock,shot_clock,dribbles,touch_time,shot_dist,pts_type,shot_result,closest_defender,closest_defender_player_id,close_def_dist,fgm,pts,player_name,player_id
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,1,1,07:28:00,2.6,5,4.5,21.1,2,made,"Cunningham, Dante",201967,4.3,true,2,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,2,1,05:53:00,5.1,7,12.1,19.6,2,missed,"Cunningham, Dante",201967,3.2,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,3,1,03:16:00,11.9,3,5.2,24.8,3,missed,"Pondexter, Quincy",530027,3.6,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,4,2,04:56:00,5.9,3,9.6,12.2,2,made,"Evans, Tyreke",201936,4.7,true,2,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,5,2,02:49:00,15.0,0,6.7,26.4,3,missed,"Davis, Anthony",203076,5.7,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,6,3,09:54:00,10.5,13,11.5,14.5,2,missed,"Cunningham, Dante",201967,4.5,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,7,3,09:26:00,21.5,2,2.5,24.5,3,missed,"Gordon, Eric",201569,3.2,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,8,3,07:15:00,17.2,0,0.8,18.2,2,made,"Cunningham, Dante",201967,2.0,true,2,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,9,3,05:39:00,21.4,0,1.8,24.5,3,made,"Cunningham, Dante",201967,11.3,true,3,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,10,3,05:08:00,12.4,0,3.6,20.2,2,missed,"Cunningham, Dante",201967,4.0,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,11,3,04:16:00,7.3,3,8.2,3.1,2,made,"Cunningham, Dante",201967,2.7,true,2,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,12,3,03:52:00,19.7,3,3.0,24.5,3,missed,"Evans, Tyreke",201936,3.1,false,0,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,13,4,04:44:00,7.0,2,5.2,12.6,2,made,"Pondexter, Quincy",530027,3.0,true,2,kobe bryant,977
21400632,"JAN 21, 2015 - LAL @ NOP",A,L,-16,14,4,04:04:00,14.9,11,9.7,9.9,2,missed,"Pondexter, Quincy",530027,1.7,false,0,kobe bryant,977
